term,source_slug,occurrences
No-Needle IVF with Gender Selection — 70% Pregnancy Rate for Women Under 35,bookimed_longevity,1
Non-profit organization,biohacking_map,1
Nurse practitioner,biohacking_map,1
Oncology Control Check-up with PET-CT & Tumor Markers — All Inclusive,bookimed_longevity,1
Oncology Diagnostic Package – Comprehensive Second Opinion & Advanced Testing,bookimed_longevity,1
One day knee stem cell treatment,bookimed_longevity,1
Oriental medicine clinic,biohacking_map,1
Orthognathic Surgery with 3D Planning by Stanford-Recognized Maxillofacial Surgeon — Custom Guides & Private Room,bookimed_longevity,1
Orthopedic Rehabilitation at JCI-Accredited Hospital — 30-Day Program,bookimed_longevity,1
Otoplasty for Natural Ear Proportions — 2 Nights at 5★ Hotel,bookimed_longevity,1
"Pacemaker Implantation by Surgeon with 25+ Years of Experience & 1,100+ Procedures Performed",bookimed_longevity,1
"Parkinson's Diagnosis & Deep Brain Stimulation by Neurosurgeon with 1,100+ DBS Procedures",bookimed_longevity,1
Pediatric clinic,biohacking_map,1
"Pediatric Health Check-up Package — Hotel, Transfer & Translation Included",bookimed_longevity,1
Pediatrician,biohacking_map,1
Penile curvature correction (surgical treatment for Peyronie's disease),bookimed_longevity,1
"Penile implant AMS 700™ (CX, LGX and related models) with Lifetime Surgical Support",bookimed_longevity,1
Penile implant Coloplast Titan with Lifetime Surgical Support,bookimed_longevity,1
"Penis Enlargement Surgery by ISAPS-Certified Surgeon with 17,795+ Procedures",bookimed_longevity,1
Percutaneous Nephrolithotomy (PCNL),bookimed_longevity,1
Performance Health Assessment,biohacking_map,1
Personal concierge service,biohacking_map,1
PET-CT Scan,world_longevity_clinics,1
PET-CT with Gallium-68 (DOTA) Scan for Neuroendocrine Tumors in Turkey,bookimed_longevity,1
PET/CT Scan with Oncologist Consultation — Translation Included,bookimed_longevity,1
Photobiomodulation,world_longevity_clinics,1
Physical rehabilitation center,biohacking_map,1
Physician assistant,biohacking_map,1
Planiti Biostimulation — 10cc PLLA for 1-Year Collagen Stimulation,bookimed_longevity,1
Plasmapheresis,bookimed_longevity,1
Platinum STD Screening Package,bookimed_longevity,1
Polygenic Risk Scoring,world_longevity_clinics,1
Precise oncology examination: High Quality Gastroscopy and Colonoscopy,bookimed_longevity,1
Precision Examination: Stereotactic Deep Brain Electrode Implantation and SEEG Monitoring for Patients of All Ages (Infants to Adults),bookimed_longevity,1
PREMIUM 150 MILLION COMPREHENSIVE STEM CELL PACKAGE,bookimed_longevity,1
Premium Aesthetics Surgery - Mommy makeover with Mentor® MemoryGel® breast implants All Included,bookimed_longevity,1
Premium All-Inclusive Scoliosis (Spinal Deformity) Correction Surgery Package,bookimed_longevity,1
Premium Blepharoplasty (Eyelid correction) All Included,bookimed_longevity,1
Premium Blepharoplasty (Eyelid correction) All Included for Both Eyes,bookimed_longevity,1
Premium Breast augmentation with Motiva® round gel breast implant All Included,bookimed_longevity,1
Premium Check up,bookimed_longevity,1
Premium Facelift All Included,bookimed_longevity,1
Premium Gastric Balloon with MedSil™ — 2 Nights Stay & Airport Transfer Included,bookimed_longevity,1
Premium Gastric sleeve surgery (Sleeve gastrectomy) All Included,bookimed_longevity,1
"Premium Gastric Sleeve Surgery by Surgeon with 1,100+ Procedures — VIP Transfer",bookimed_longevity,1
Premium Hair transplant (2000-4500 Grafts) All Included,bookimed_longevity,1
Premium Health Check-up with Cancer Markers — Translation & Transfer Included,bookimed_longevity,1
Premium IVF Package at JCI-Accredited Hospital — VIP Transfer Included,bookimed_longevity,1
Premium Labiaplasty All Included,bookimed_longevity,1
Premium Package – Corneal Transplant in Barcelona,bookimed_longevity,1
Premium Penile Girth Enhancment & Lenghtening with Peniflex,bookimed_longevity,1
Premium Penile implant surgery with Rigicon All Included,bookimed_longevity,1
Premium Rhinoplasty (nose job) All Included,bookimed_longevity,1
Premium Teeth Cleaning for Healthy Gums & Fresh Breath — 4★ Hotel,bookimed_longevity,1
Premium Tummy tuck All Included,bookimed_longevity,1
PSMA PET/CT Scan for Prostate Cancer with Oncologist Consultation,bookimed_longevity,1
Psychoneurological specialized clinic,biohacking_map,1
Rapamycin,biohacking_map,1
Recovery Spa Therapies,world_longevity_clinics,1
Reflexologist,biohacking_map,1
"Regicoin 3-Piece Inflatable Penile Prosthesis (Infla10® X) — Expert Urologist, 4*Hotel & Transfer",bookimed_longevity,1
Reiki therapist,biohacking_map,1
Retinal Detachment Surgery (Vitrectomy) at JCI-Accredited Hospital — 3-Night Hotel Stay Included,bookimed_longevity,1
Retreat center,biohacking_map,1
Revolutionizing Parkinson’s Treatment,bookimed_longevity,1
Rhinoplasty at Triple-Accredited Hospital— 5 Nights at 5★ Hotel & VIP Transfer,bookimed_longevity,1
Rhinoplasty by ENT Specialist — Transfer & Hospital Stay Included,bookimed_longevity,1
Rhinoplasty by ENT Specialist — Transfers & Full Pre-Op Testing,bookimed_longevity,1
Rhinoplasty for for a Naturally Refined Look — 3D Scan & CT Included,bookimed_longevity,1
Rhinoplasty for Natural-Looking Results by Professor — 5★ Hotel & VIP Transfer,bookimed_longevity,1
Rhinoplasty with 3D Planning for Precise Results — 6-Night Hotel Stay,bookimed_longevity,1
Robot-Assisted Laparoscopic Sacrocolpopexy (for Prolapse Surgery),bookimed_longevity,1
Robot-Assisted Laparoscopic Tubal Reanastomosis,bookimed_longevity,1
Robot-Assisted Laparoscopic Uretero-Neocystostomy (Unilateral),bookimed_longevity,1
Robot-Assisted Retroperitoneal Cyst / Tumor Excision (Excluding Kidney and Adrenal Gland),bookimed_longevity,1
Robotic Da Vinci Prostatectomy at Turkey's First Smart JCI-Certified Hospital,bookimed_longevity,1
Robotic Da Vinci Prostatectomy with Pelvic Lymphadenectomy — Transfer Included,bookimed_longevity,1
Robotic Partial Nephrectomy with Da Vinci System — Airport Transfer Included,bookimed_longevity,1
Robotic Pyeloplasty Surgery — JCI-Accredited Hospital with Transfer Included,bookimed_longevity,1
Salpingectomy,bookimed_longevity,1
"Sanpiti Jin Wellbeing — Premium Stroke Rehabilitation Bangkok, Private Suite, Dedicated Physician, 3 Sessions/Day",bookimed_longevity,1
Schizophrenia Inpatient Treatment in Adults,bookimed_longevity,1
"Scoliosis Surgery with Stryker by Surgeon with 2,700+ Neurosurgery Cases Performed",bookimed_longevity,1
Sculptra Biostimulation for Collagen Production,bookimed_longevity,1
Sculptra Biostimulator for Long-Term Collagen Regeneration,bookimed_longevity,1
Septoplasty for Improved Breathing — 5★ Hotel & Free Translation Service,bookimed_longevity,1
Simple Thymectomy,bookimed_longevity,1
Skull Base Tumor Surgery with Neuronavigation & Neuromonitoring — 6 Nights Stay,bookimed_longevity,1
Small Bone Osteotomy at JCI-Accredited Hospital — Transfer & Follow-up Included,bookimed_longevity,1
Small Joint Arthrodesis Surgery — JCI-Accredited Hospital with Transfer,bookimed_longevity,1
Social welfare center,biohacking_map,1
Spartacus package,bookimed_longevity,1
Sperm bank,biohacking_map,1
Spinal Cord Injury Rehabilitation Program — Advanced 3D Imaging & VIP Transfer Included,bookimed_longevity,1
Spinal Cord Stimulator Implantation by Deep Brain Stimulation Expert — 5★ Hotel & VIP Transfer,bookimed_longevity,1
Sports club,biohacking_map,1
Stem Cell Banking,biohacking_map,1
Stem Cell for Facial Rejuvenation Package,bookimed_longevity,1
Stem Cell for Men's Health Package,bookimed_longevity,1
Stem Cell for Women's Health Package,bookimed_longevity,1
Stem Cell Hair Restoration with Exosomes — VIP Transfer & Recovery,bookimed_longevity,1
Stem Cell Joint Regeneration Package,bookimed_longevity,1
Stem Cell Rejuvenation by EBOPRAS-Certified Surgeon with 15+ Years' Expertise — Transfer Included,bookimed_longevity,1
Stem Cell Rejuvenation Package,bookimed_longevity,1
"Stress Urinary Incontinence Surgery with Midurethral Sling (TVT, TOT, IVS etc.)",bookimed_longevity,1
Stroke Prevention Health Check-up with Advanced Blood Analysis & Transfer,bookimed_longevity,1
Stroke Rehabilitation Program – Golden Period (3–6 Months) Intensive Recovery,bookimed_longevity,1
Suburethral Sling (TVT) Surgery — Minimally Invasive Treatment for Urinary Incontinence,bookimed_longevity,1
Supplement Protocol,world_longevity_clinics,1
Supplement Protocols,biohacking_map,1
Surgical center,biohacking_map,1
"Surgical Treatment of Long Bone Fractures, Including Percutaneous Pinning Under Fluoroscopic Guidance",bookimed_longevity,1
Targeted IV Protocols,biohacking_map,1
Targeted Oncothermia Hyperthermia for Stomach Cancer with Integrated Immunotherapy,bookimed_longevity,1
Therapeutic Fasting,world_longevity_clinics,1
Therapeutic Plasma Exchange,biohacking_map,1
Therapeutic Plasma Exchange (TPE),world_longevity_clinics,1
"Thermage FLX 1,200 Shots for Facial Rejuvenation — No Downtime",bookimed_longevity,1
Thermal Water Treatments,world_longevity_clinics,1
Thigh Lift with VASER Liposuction — 7 Nights at 5★ Hotel Included,bookimed_longevity,1
Thigh Liposuction with Tumescent Technique for Sculpted Contour,bookimed_longevity,1
Thread Lift for Subtle Facial Rejuvenation — Non-Surgical Facelift,bookimed_longevity,1
Total Body Reshaping with Personalised Planning — 5★ Hotel Included,bookimed_longevity,1
TOTAL HİP REPLACEMENT,bookimed_longevity,1
"Total Thyroidectomy, Bilateral (for Malignant Disease)",bookimed_longevity,1
Training center,biohacking_map,1
Transcatheter Aortic Valve Implantation (TAVI) at JCI-Accredited Hospital,bookimed_longevity,1
Transurethral Resection (TURP) for Enlarged Prostate (>3cm) at JCI-Accredited Hospital,bookimed_longevity,1
"TrueBeam STx & Halcyon Radiotherapy with PET-CT Imaging — ESMO-Certified Oncologist, JCI Center",bookimed_longevity,1
Tummy Tuck & Liposuction by EBOPRAS-Certified Surgeon — 7 Nights at 4★ Hotel,bookimed_longevity,1
Tummy Tuck + Liposuction — 7 Nights with Breakfast at 4★ Hotel,bookimed_longevity,1
Tummy Tuck by Professor with 900+ Procedures — 5★ Hotel & VIP Transfer,bookimed_longevity,1
Tummy Tuck with Liposuction by European Board Certified Surgeon — All Included,bookimed_longevity,1
Tummy Tuck with Waist Liposuction by European Board-Certified Surgeon,bookimed_longevity,1
Ulnar Nerve Transposition (Ulnar Nerve Entrapment Neuropathy),bookimed_longevity,1
Ultherapy for Face & Neck — FDA-Cleared Treatment for Lifted & Tightened Skin,bookimed_longevity,1
Ultimate STD Screening Package,bookimed_longevity,1
Ultrasound,bookimed_longevity,1
Ultrasound-Guided Imaging,biohacking_map,1
University,biohacking_map,1
Upper & Lower Blepharoplasty - All Included,bookimed_longevity,1
Upper & Lower Blepharoplasty for Refreshed Eyes — VIP Transfer & 7 Nights at Hotel,bookimed_longevity,1
Upper Blepharoplasty by EBOPRAS-Certified Surgeon — VIP Transfer & 6 Night at Hotel,bookimed_longevity,1
Ureteroscopy with Laser Lithotripsy — Minimally Invasive Kidney Stone Removal,bookimed_longevity,1
Urologist,biohacking_map,1
Urology Check-up with PSA Test & Prostate Ultrasound in Turkey,bookimed_longevity,1
Uterine Fibroid / Adenomyoma Ablation,bookimed_longevity,1
Vaginoplasty by EBOPRAS-Certified Surgeon— 4 Nights at 4★ Hotel with VIP Transfer,bookimed_longevity,1
Vascular Imaging,world_longevity_clinics,1
Vascular Screening,world_longevity_clinics,1
VASER Liposuction — 3 Areas by European Board-Certified Surgeon — All Included,bookimed_longevity,1
"Ventilation Tube (VT) Insertion, Unilateral",bookimed_longevity,1
Videothoracoscopic Wedge Resection by Surgeon with 30+ Years of Experience,bookimed_longevity,1
Virtual Colonoscopy,world_longevity_clinics,1
Vitamin Injections,biohacking_map,1
VO2max Testing (Ergospirometry),world_longevity_clinics,1
WAVi Brain EEG,biohacking_map,1
Wellness hotel,biohacking_map,1
Whipple Surgery at JCI-Accredited Hospital — Multi-Specialty Consultation Included,bookimed_longevity,1
"Whipple Surgery for Pancreatic Cancer by Surgeon with 1,100+ Procedures",bookimed_longevity,1
Women's Health Check-up Ages 41-50 with Hormone Profile & Pap Smear,bookimed_longevity,1
Yoga instructor,biohacking_map,1
🧠 Premium Package – Epilepsy Surgery Program in Barcelona,bookimed_longevity,1
